timestamp (ms),pH,total dissolved solids (TDS) (ppm),temperature (°C),turbidity (NTU,water type,Safe/Unsafe
5124,7,177,26,4,Distilled,Safe
6124,7,174,26,5,Distilled,Safe
7124,7,174,26,4,Distilled,Safe
8124,7,173,26,2,Distilled,Safe
9124,7,173,26,3,Distilled,Safe
10124,7,173,26,2,Distilled,Safe
11124,7,174,26,3,Distilled,Safe
12124,7,174,26,3,Distilled,Safe
13124,7,173,26,2,Distilled,Safe
14124,7,174,26,2,Distilled,Safe
15124,7,173,26,3,Distilled,Safe
16124,7,173,26,3,Distilled,Safe
17124,7,173,26,4,Distilled,Safe
18124,7,174,26,3,Distilled,Safe
19124,7,174,26,3,Distilled,Safe
20124,7,176,26,3,Distilled,Safe
21124,7,176,26,3,Distilled,Safe
22124,7,174,26,2,Distilled,Safe
23127,7,174,26,3,Distilled,Safe
24124,7,174,26,4,Distilled,Safe
25124,7,176,26,6,Distilled,Safe
26124,7,174,26,4,Distilled,Safe
27124,7,176,26,3,Distilled,Safe
28124,7,174,26,4,Distilled,Safe
29124,7,182,26,5,Distilled,Safe
30124,7,189,26,6,Distilled,Safe
31124,7,185,26,6,Distilled,Safe
32124,7,185,26,4,Distilled,Safe
33124,7,187,26,1,Distilled,Safe
34124,7,185,26,3,Distilled,Safe
35124,7,190,26,2,Distilled,Safe
36124,7,189,25,1,Distilled,Safe
37124,7,187,26,3,Distilled,Safe
38127,7,192,26,1,Distilled,Safe
39124,7,194,26,0,Distilled,Safe
40124,7,190,26,0,Distilled,Safe
41124,7,194,26,0,Distilled,Safe
42124,7,194,26,1,Distilled,Safe
43124,7,194,26,1,Distilled,Safe
44124,7,194,26,1,Distilled,Safe
45124,7,192,26,1,Distilled,Safe
46124,7,190,26,3,Distilled,Safe
47124,7,194,26,2,Distilled,Safe
48124,7,195,26,2,Distilled,Safe
49124,7,194,26,1,Distilled,Safe
50124,7,194,26,1,Distilled,Safe
51124,7,194,26,1,Distilled,Safe
52124,7,192,26,1,Distilled,Safe
53124,7,192,26,1,Distilled,Safe
54124,7,190,26,2,Distilled,Safe
55124,7,190,26,1,Distilled,Safe
56124,7,192,26,0,Distilled,Safe
57124,7,194,26,1,Distilled,Safe
58124,7,194,26,1,Distilled,Safe
59124,7,190,26,2,Distilled,Safe
60124,7,194,26,2,Distilled,Safe
61124,7,190,26,3,Distilled,Safe
62124,7,190,26,2,Distilled,Safe
63124,7,192,26,1,Distilled,Safe
64124,7,190,26,0,Distilled,Safe
65124,7,192,26,0,Distilled,Safe
66124,7,190,26,1,Distilled,Safe
67124,7,194,26,1,Distilled,Safe
68124,7,194,26,0,Distilled,Safe
69124,7,195,26,0,Distilled,Safe
70124,7,194,26,1,Distilled,Safe
71124,7,189,26,0,Distilled,Safe
72124,7,194,26,1,Distilled,Safe
73124,7,197,26,1,Distilled,Safe
74124,7,200,26,3,Distilled,Safe
75124,7,195,26,3,Distilled,Safe
76124,7,195,26,3,Distilled,Safe
77124,7,194,26,1,Distilled,Safe
78124,7,195,26,2,Distilled,Safe
79124,7,194,26,2,Distilled,Safe
80124,7,192,26,5,Distilled,Safe
81124,7,192,26,5,Distilled,Safe
82124,7,197,26,7,Distilled,Safe
83124,7,197,26,6,Distilled,Safe
84127,7,194,26,7,Distilled,Safe
85124,7,192,26,4,Distilled,Safe
86124,7,194,26,5,Distilled,Safe
87124,7,194,26,5,Distilled,Safe
88124,7,190,25,5,Distilled,Safe
89124,7,192,26,7,Distilled,Safe
90124,7,192,26,5,Distilled,Safe
91124,7,192,26,5,Distilled,Safe
92124,7,190,26,7,Distilled,Safe
93124,7,190,26,7,Distilled,Safe
94124,7,190,26,7,Distilled,Safe
95124,7,189,26,7,Distilled,Safe
96124,7,189,26,6,Distilled,Safe
97124,7,192,26,7,Distilled,Safe
98124,7,190,26,7,Distilled,Safe
99124,7,189,26,7,Distilled,Safe
100124,7,190,26,7,Distilled,Safe
101124,7,192,26,6,Distilled,Safe
102124,7,194,26,5,Distilled,Safe
103124,7,194,26,3,Distilled,Safe
104124,7,194,26,2,Distilled,Safe
105124,7,194,26,3,Distilled,Safe
106124,7,192,26,2,Distilled,Safe
107124,7,189,26,1,Distilled,Safe
108124,7,189,26,3,Distilled,Safe
109124,7,190,26,3,Distilled,Safe
110124,7,190,26,3,Distilled,Safe
111124,7,194,26,2,Distilled,Safe
112124,7,194,26,3,Distilled,Safe
113124,7,190,26,3,Distilled,Safe
114124,7,192,26,3,Distilled,Safe
115124,7,192,26,4,Distilled,Safe
116124,7,194,26,3,Distilled,Safe
117124,7,194,25,3,Distilled,Safe
118124,7,192,26,3,Distilled,Safe
119124,7,194,26,3,Distilled,Safe
120124,7,194,26,3,Distilled,Safe
121124,7,189,26,3,Distilled,Safe
122124,7,189,26,3,Distilled,Safe
123124,7,194,26,3,Distilled,Safe
124124,7,189,26,3,Distilled,Safe
