timestamp (ms),pH,total dissolved solids (TDS) (ppm),temperature (°C),turbidity (NTU,water type,Safe/Unsafe
15124,5,1161,26,24,Melted Snow,Unsafe
16124,5,1160,26,24,Melted Snow,Unsafe
17124,5,1158,26,24,Melted Snow,Unsafe
18124,5,1160,26,24,Melted Snow,Unsafe
19124,5,1156,26,20,Melted Snow,Unsafe
20124,5,1160,26,23,Melted Snow,Unsafe
21124,5,1160,26,19,Melted Snow,Unsafe
22124,4,1158,26,19,Melted Snow,Unsafe
23124,4,1158,26,21,Melted Snow,Unsafe
24124,4,1160,26,18,Melted Snow,Unsafe
25124,4,1158,26,16,Melted Snow,Unsafe
26124,4,1158,26,16,Melted Snow,Unsafe
27124,4,1160,26,20,Melted Snow,Unsafe
28124,4,1160,26,16,Melted Snow,Unsafe
29124,4,1160,26,13,Melted Snow,Unsafe
30124,3,1158,26,13,Melted Snow,Unsafe
31124,3,1161,26,14,Melted Snow,Unsafe
32124,3,1160,26,14,Melted Snow,Unsafe
33124,3,1161,26,13,Melted Snow,Unsafe
34124,3,1158,26,18,Melted Snow,Unsafe
35124,3,1160,26,11,Melted Snow,Unsafe
36124,3,1156,26,11,Melted Snow,Unsafe
37124,3,1160,26,11,Melted Snow,Unsafe
38124,3,1160,26,11,Melted Snow,Unsafe
39124,3,1160,26,11,Melted Snow,Unsafe
40124,3,1161,26,11,Melted Snow,Unsafe
41124,3,1160,26,11,Melted Snow,Unsafe
42124,3,1163,26,11,Melted Snow,Unsafe
43124,3,1158,26,11,Melted Snow,Unsafe
44124,3,1158,26,11,Melted Snow,Unsafe
45124,3,1158,26,11,Melted Snow,Unsafe
46124,3,1158,26,11,Melted Snow,Unsafe
47124,3,1156,26,11,Melted Snow,Unsafe
48124,3,1160,26,11,Melted Snow,Unsafe
49124,3,1156,26,11,Melted Snow,Unsafe
50124,3,1156,26,11,Melted Snow,Unsafe
51124,3,1158,26,11,Melted Snow,Unsafe
52124,3,1160,26,11,Melted Snow,Unsafe
53124,3,1161,26,11,Melted Snow,Unsafe
54124,2,1158,26,11,Melted Snow,Unsafe
55124,2,1160,26,11,Melted Snow,Unsafe
56124,2,1160,26,11,Melted Snow,Unsafe
57124,2,1161,26,11,Melted Snow,Unsafe
58124,2,1160,26,11,Melted Snow,Unsafe
59124,3,1155,26,11,Melted Snow,Unsafe
60124,3,1158,26,11,Melted Snow,Unsafe
61124,3,1160,26,11,Melted Snow,Unsafe
62124,3,1160,26,11,Melted Snow,Unsafe
63124,3,1160,26,11,Melted Snow,Unsafe
64124,3,1160,26,11,Melted Snow,Unsafe
65124,3,1158,26,11,Melted Snow,Unsafe
66124,3,1160,26,11,Melted Snow,Unsafe
67124,3,1161,26,11,Melted Snow,Unsafe
68124,3,1161,26,11,Melted Snow,Unsafe
69124,3,1158,26,11,Melted Snow,Unsafe
70124,3,1161,26,11,Melted Snow,Unsafe
71124,3,1160,26,11,Melted Snow,Unsafe
72124,3,1161,26,11,Melted Snow,Unsafe
73124,3,1161,26,11,Melted Snow,Unsafe
74124,3,1160,26,11,Melted Snow,Unsafe
75124,3,1156,26,11,Melted Snow,Unsafe
76124,3,1160,26,11,Melted Snow,Unsafe
77124,3,1158,26,11,Melted Snow,Unsafe
78124,3,1161,26,11,Melted Snow,Unsafe
79124,3,1160,26,11,Melted Snow,Unsafe
80124,3,1161,26,11,Melted Snow,Unsafe
81124,3,1158,26,11,Melted Snow,Unsafe
82124,3,1158,26,11,Melted Snow,Unsafe
83127,3,1158,26,11,Melted Snow,Unsafe
84124,3,1163,26,11,Melted Snow,Unsafe
85124,3,1155,26,11,Melted Snow,Unsafe
86124,3,1160,26,11,Melted Snow,Unsafe
87124,3,1156,26,11,Melted Snow,Unsafe
88124,3,1158,26,11,Melted Snow,Unsafe
