timestamp (ms),pH,total dissolved solids (TDS) (ppm),temperature (°C),turbidity (NTU,water type,Safe/Unsafe
20124,2,1160,26,24,Puddle,Unsafe
21124,2,1161,26,24,Puddle,Unsafe
22124,2,1155,26,24,Puddle,Unsafe
23124,2,1160,26,24,Puddle,Unsafe
24124,2,1158,26,20,Puddle,Unsafe
25124,2,1156,26,23,Puddle,Unsafe
26124,2,1156,26,19,Puddle,Unsafe
27124,2,1156,26,19,Puddle,Unsafe
28124,2,1161,26,21,Puddle,Unsafe
29124,2,1158,49,18,Puddle,Unsafe
30124,2,1156,26,16,Puddle,Unsafe
31124,3,1160,26,16,Puddle,Unsafe
32124,3,1156,26,20,Puddle,Unsafe
33124,3,1160,26,16,Puddle,Unsafe
34124,3,1161,26,13,Puddle,Unsafe
35124,3,1158,26,13,Puddle,Unsafe
36124,3,1158,26,14,Puddle,Unsafe
37124,3,1158,26,14,Puddle,Unsafe
38124,3,1163,26,13,Puddle,Unsafe
39124,3,1155,26,18,Puddle,Unsafe
40124,3,1161,26,12,Puddle,Unsafe
41124,3,1156,26,12,Puddle,Unsafe
42124,3,1153,26,12,Puddle,Unsafe
43124,3,1158,26,12,Puddle,Unsafe
44124,3,1163,26,12,Puddle,Unsafe
45124,3,1158,26,12,Puddle,Unsafe
46124,3,1161,26,12,Puddle,Unsafe
47124,3,1161,26,12,Puddle,Unsafe
48124,3,1158,26,12,Puddle,Unsafe
49124,3,1161,26,12,Puddle,Unsafe
50124,3,1161,26,12,Puddle,Unsafe
51124,3,1161,26,12,Puddle,Unsafe
52124,3,1160,26,12,Puddle,Unsafe
53127,3,1158,27,12,Puddle,Unsafe
54124,3,1161,26,12,Puddle,Unsafe
55124,3,1160,26,12,Puddle,Unsafe
56124,3,1161,27,12,Puddle,Unsafe
57124,3,1163,26,12,Puddle,Unsafe
58124,3,1158,26,12,Puddle,Unsafe
59124,3,1158,26,12,Puddle,Unsafe
60124,3,1160,26,12,Puddle,Unsafe
61124,3,1156,26,12,Puddle,Unsafe
62124,3,1161,26,12,Puddle,Unsafe
63124,3,1160,26,12,Puddle,Unsafe
64124,3,1163,26,12,Puddle,Unsafe
65124,3,1160,26,12,Puddle,Unsafe
66124,3,1160,26,12,Puddle,Unsafe
67124,3,1161,26,12,Puddle,Unsafe
68127,3,1161,26,12,Puddle,Unsafe
69124,3,1161,26,12,Puddle,Unsafe
70124,3,1160,26,12,Puddle,Unsafe
71124,3,1165,26,12,Puddle,Unsafe
72124,3,1160,26,12,Puddle,Unsafe
